gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1.3_RNAseq_rep1	E12.5_DFL_DelCBS1.3_RNAseq_rep2	E12.5_DFL_DelCBS1.3_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000037306	Man1c1	225.717061598569	162.019971394841	168.482117252843	217.122113008769	252.537299340824	158.229020732682	197.351263888088	-0.173364927801947	0.20622002104113	-0.840679420585308	0.400527552521956	0.994502881406078
ENSMUSG00000037686	Aspg	69.1558656812636	58.2876726359488	72.0825553195151	66.170548726482	37.7091894943312	62.270775901249	60.9461012931316	0.260994590557335	0.311882084058892	0.836837394314872	0.402683974882635	0.994502881406078
ENSMUSG00000038280	Ostm1	119.101768673287	160.044118085147	147.638968726718	142.680245691477	159.97837967292	176.60400378551	151.007914105843	-0.167420190564028	0.199934059707005	-0.837377037256056	0.402380668912268	0.994502881406078
ENSMUSG00000038664	Herc1	2564.53001901352	2893.63717204566	2601.91970767792	2631.31322670151	2469.38056052272	2627.62257655434	2631.40054375261	0.0601574394824445	0.0715421186884556	0.840867458013258	0.400422190769886	0.994502881406078
ENSMUSG00000038692	Hoxb4	15.3679701513919	8.8913398936193	7.81618069729682	11.3730630623641	4.57081084779772	4.08332956729502	8.68378236996081	0.673184683170792	0.798455402103728	0.84310868383772	0.399167662539466	0.994502881406078
ENSMUSG00000039615	Stub1	1848.95890883934	1661.69263345196	1821.17010247016	1938.59029472115	1884.31677200461	1754.81088154503	1818.25659883871	-0.0646555029884995	0.0769692119543922	-0.840017733672665	0.400898443544206	0.994502881406078
ENSMUSG00000039716	Dock3	11.5259776135439	4.93963327423295	13.8954323507499	10.3391482385128	23.9967569509381	11.2291563100613	12.6543507896732	-0.572589938043212	0.681751290531691	-0.839880974184376	0.400975126158538	0.994502881406078
ENSMUSG00000040429	Mterf1a	29.7754421683218	53.3480393617158	35.6070453987966	29.9835298916871	20.5686488150898	41.8541280647739	35.1894722833975	0.355001988165784	0.419945825783646	0.845351867716099	0.397914409705061	0.994502881406078
ENSMUSG00000042419	Nfkbil1	218.033076522873	171.899237943307	233.616956396983	233.664750190389	263.964326460319	197.020651621985	219.699833189309	-0.152658359805665	0.180014148940879	-0.848035338909957	0.3964182902717	0.994502881406078
ENSMUSG00000042647	Acad12	57.6298880677197	55.323892671409	63.3979101002964	76.5096969649948	62.8486491572187	68.3957702521916	64.0176345356384	-0.236347108717874	0.281855535660469	-0.838539885917246	0.401727556373874	0.994502881406078
