gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1.4_RNAseq_rep1	E12.5_PFL_DelCBS1.4_RNAseq_rep2	E12.5_PFL_DelCBS1.4_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000028111	Ctsk	100.553538708999	229.145772220466	123.668396986336	314.280208962564	231.430332376876	309.22307487564	218.05022068848	-0.907975632093789	0.235172873578289	-3.86088590184074	0.000112976654471102	0.0213980921808668
ENSMUSG00000091243	Vgll3	401.121181589159	440.866010431771	342.466330116007	483.671914810183	546.015286343713	740.910733860443	492.508576191879	-0.579825597157879	0.151221978201992	-3.83426803465953	0.000125938755718455	0.0235263946812681
ENSMUSG00000014077	Chp1	925.748340070894	800.703287720943	871.38655107295	678.632180031028	662.231383987512	666.411445194035	767.51886467956	0.370824516304391	0.0970010576789467	3.8228914733254	0.000131895841081207	0.0236666261161107
ENSMUSG00000028063	Lmna	929.027259811404	1025.49267643912	855.214529928583	1250.72869600695	1070.99145156226	1471.61608571179	1100.51178324335	-0.432447442447716	0.113025805335065	-3.82609476805519	0.000130192186290159	0.0236666261161107
ENSMUSG00000028197	Col24a1	268.871418721889	280.55109754749	201.674616623871	372.874824192872	325.605445984783	465.365419614824	319.157137114288	-0.63178142170949	0.165031825620781	-3.82823991271376	0.000129062919450906	0.0236666261161107
ENSMUSG00000026837	Col5a1	10019.2857537543	11420.694989604	9893.47175890686	13476.761502971	11298.0080442166	14984.5624039571	11848.7974089016	-0.343463758055275	0.0901004265250858	-3.8120103455853	0.000137841105756543	0.0242436753909609
ENSMUSG00000041559	Fmod	863.448865001188	1152.69907470599	785.769968543948	1505.34893309865	1098.04175015176	1380.78818583083	1131.01612955539	-0.506424031111038	0.133011054806948	-3.80738301674294	0.000140445138658496	0.0242436753909609
ENSMUSG00000093930	Hmgcs1	3762.01391561277	3395.365301685	4143.84259440368	2893.50863573669	3121.80482981103	3131.01120039096	3407.92441294002	0.304905760932387	0.0800247288189739	3.81014425705987	0.000138885728002462	0.0242436753909609
ENSMUSG00000027487	Cdk5rap1	217.501676120552	193.423427501686	181.69741403377	290.84236287044	332.61848635984	267.381008638342	247.244062587438	-0.590469005573201	0.155363895600857	-3.8005548411979	0.000144372460789771	0.0246100905973763
ENSMUSG00000008575	Nfib	1968.44481755334	2281.87367849962	1822.6819125063	2592.01270646074	2320.3145012331	3010.58769268362	2332.65255148945	-0.383130975699905	0.100927047967702	-3.79611792294283	0.000146979604748002	0.0247451959252902
ENSMUSG00000005124	Ccn4	560.695275627353	953.176710301101	700.153386014947	1121.82054250027	1027.91134640119	1049.11327053517	902.145088563339	-0.528151486000013	0.139317169440171	-3.79100069375746	0.000150041535072073	0.024830990159015
ENSMUSG00000038146	Notch3	4372.98596059462	4154.24730778396	4696.54519939646	3892.81316457359	3526.55744574288	3513.7130257321	4026.1436839706	0.274458158042645	0.0724316173886844	3.78920377505642	0.000151130907325529	0.024830990159015
ENSMUSG00000024940	Ltbp3	2150.97134977511	2538.02902843428	1838.85393365067	3236.55347399413	2412.48588901956	3197.34618345009	2562.37330972064	-0.43800538670954	0.115731151115173	-3.78468011843801	0.00015390640840623	0.0249859725170923
ENSMUSG00000020524	Gria1	27.3243311709237	53.1478787279407	27.5875654815672	79.9017480413298	73.1359924827359	100.012743689151	60.185043265608	-1.21603222181582	0.324047903749467	-3.75263103925516	0.000174988309323613	0.0280743008734836
ENSMUSG00000024924	Vldlr	249.197900278824	332.827699574973	245.434203249805	420.81587301767	367.683688235124	428.626044382075	340.764234789745	-0.553209540768251	0.14797066170827	-3.73864342013233	0.000185015932542094	0.0291034196236169
ENSMUSG00000027712	Anxa5	1521.41875959703	1908.96725070358	1643.83838455683	2096.62186860449	2014.74631346276	2373.77185531597	1926.56073870678	-0.352877299047896	0.0944089036607507	-3.73775444227089	0.00018567115254489	0.0291034196236169
ENSMUSG00000020849	Ywhae	13481.8249997337	12342.5057386887	13196.3692538035	11143.6304601641	11554.4849493615	10601.35083105	12053.3610388002	0.228607490389388	0.0620100531654256	3.68661980952551	0.000227252476545477	0.0336226708441899
ENSMUSG00000021061	Sptb	203.293023911672	113.265971059546	185.502595479504	108.666377336209	73.1359924827359	85.7252088764149	128.264861524347	0.905694693914398	0.2451395320285	3.69460888833344	0.000220225505069877	0.0336226708441899
ENSMUSG00000022371	Col14a1	687.480172260439	702.249020569184	582.192761197211	877.853871814077	750.395320131084	1176.68054564889	796.14194860348	-0.508372127559551	0.138013974058199	-3.68348300256304	0.000230068631723877	0.0336226708441899
ENSMUSG00000028641	P3h1	1326.86952166005	1503.82358499059	1399.35547666846	1721.61633113052	1624.01977828102	2066.58985684215	1607.04575826213	-0.354862349772181	0.0961500711610705	-3.69071333475891	0.000223626046514066	0.0336226708441899
ENSMUSG00000028782	Adgrb2	1091.88027359011	1232.85653114813	937.977226373285	1768.49202331477	1196.22431540256	1535.9099923691	1293.89006036633	-0.463324284755243	0.12570346939811	-3.68585120978538	0.000227939500019069	0.0336226708441899
ENSMUSG00000028825	Rhd	28.4173044177606	8.71276700458045	44.7108819873675	5.32678320275532	5.00931455361204	3.0616146027291	15.8731109614675	2.60819419841323	0.708437573269291	3.68161472065486	0.000231761462151049	0.0336226708441899
ENSMUSG00000036103	Colec12	856.891025520166	1014.16607933316	763.890175230981	1138.86624874909	1058.96909663359	1346.0898869999	1029.81208541115	-0.426663278597485	0.115570746196568	-3.69179305870186	0.00022267861927876	0.0336226708441899
ENSMUSG00000032373	Car12	280.894124437095	362.451107390547	231.164772828304	434.665509344834	387.720946449572	494.961027441205	365.30958131526	-0.588818370069748	0.160178492942514	-3.6760139220505	0.000236906599673479	0.0340073189447077
ENSMUSG00000069833	Ahnak	2936.81911425087	3264.67379661629	2531.39695677415	3761.77429778581	3358.24447674151	3886.20946906414	3289.8530185388	-0.33349256030416	0.0908098523333711	-3.67242707410072	0.00024025772531304	0.034129110417645
ENSMUSG00000044026	Slc35g1	119.134083905227	179.483000294357	116.058034094869	226.920964437377	209.389348340983	245.949706419238	182.822522915342	-0.712926675554931	0.194550803691983	-3.6644756126716	0.000247845852808309	0.0348440607705867
ENSMUSG00000000693	Loxl3	722.455316159222	773.693710006744	701.10468137638	954.559549933753	840.562982096101	1085.85264576792	846.37148089002	-0.390217137041285	0.106813505650877	-3.6532565302811	0.000258935306502628	0.0349613938096667
ENSMUSG00000014158	Trpv4	116.948137411553	158.572359483364	110.350261926269	207.744544907457	160.298065715585	352.085679313847	184.333174793013	-0.8974995942961	0.245177683618112	-3.66060883295578	0.000251616648127801	0.0349613938096667
ENSMUSG00000021253	Tgfb3	1366.21655854618	1494.23954128555	1313.73889413946	1722.68168777107	1609.99369753091	1850.23575824929	1559.51768958708	-0.311645140726238	0.0852483496558032	-3.65573224566258	0.000256448916493237	0.0349613938096667
ENSMUSG00000042607	Asb4	2302.89463108545	2153.79600353229	2688.36069141065	1631.06101668368	2064.83945899888	1862.48221666021	2117.23900306186	0.361918011216104	0.0989291684676201	3.65835493032129	0.000253839355402925	0.0349613938096667
ENSMUSG00000025081	Tdrd1	56.8346088355212	66.2170292348114	46.6134727102342	96.9474542901468	106.197468536575	119.402969506435	82.035500518954	-0.924963227183191	0.253700456397135	-3.64588712341645	0.000266470931439248	0.0355456762533618
ENSMUSG00000044573	Acp1	276.522231449747	298.847908257109	139.840418130703	105.470307414555	149.277573697639	134.711042520081	184.111580244972	0.875852239485825	0.240357300632079	3.64395937707137	0.000268475812429146	0.0355456762533618
ENSMUSG00000031073	Fgf15	39.3470368861301	20.9106408109931	44.7108819873675	7.45749648385745	14.0260807501137	5.10269100454851	21.9258046538351	1.97330780859096	0.543778581057277	3.62888108750849	0.000284652312828206	0.0373250345195985
ENSMUSG00000070867	Trabd2b	160.667067285031	222.175558616801	182.648709395203	315.345565603115	224.41729200182	373.516981532951	246.46186240582	-0.687812573638458	0.189816398188459	-3.62356772229744	0.000290567078525061	0.0377377452366311
ENSMUSG00000003411	Rab3b	91.8097527343035	24.3957476128253	104.642489757669	26.6339160137766	20.0372582144482	26.5339932236522	49.0088595927791	1.58932097130815	0.439737596860552	3.61424854880478	0.000301219993863325	0.0387522363803223
ENSMUSG00000025577	Cbx2	3269.08298128931	3095.64611672743	3437.98143622013	2683.63337754813	2900.39312654137	2559.50980788153	2991.04114103465	0.26728362440537	0.0740789067629623	3.60809353275994	0.00030845529626235	0.0393121950946698
ENSMUSG00000023191	P3h3	2522.58225369967	2776.75884435979	2420.09539948645	3264.25274664846	2868.33351339826	3303.4821563447	2859.25081898955	-0.28921286991925	0.0802313703312989	-3.60473551336597	0.000312470981673361	0.0394552479359224
ENSMUSG00000022367	Has2	453.583897437333	561.973471795439	474.696385355242	651.998264017251	665.23697271968	656.206063184938	577.28250908498	-0.402818517616124	0.111994089769635	-3.59678370925372	0.000322176158112766	0.0401031910380371
ENSMUSG00000025422	Agap2	150.830308063499	109.780864257714	122.717101624902	206.679188266906	171.318557733532	247.990782821057	168.219467127935	-0.711968352911279	0.198003876961345	-3.59572935559374	0.000323483978454504	0.0401031910380371
ENSMUSG00000024431	Nr3c1	335.542786778943	495.756442560627	403.349233247741	589.142222224738	531.989205593599	619.466687952189	495.874429726306	-0.49178758263888	0.137381403463015	-3.57972454962783	0.000343956577019377	0.0422570796469662
ENSMUSG00000041417	Pik3r1	990.233761634273	1184.93631262294	945.587589264751	1427.57789833843	1208.24667033123	1392.01410604083	1191.43272303874	-0.366799152727961	0.102577458553058	-3.57582609183316	0.000349123691027939	0.0425089265584643
