gene_id	gene_short_name	E12.5_DFL_WT_RNAseq_rep1	E12.5_DFL_WT_RNAseq_rep2	E12.5_DFL_WT_RNAseq_rep3	E12.5_DFL_DelCBS1_RNAseq_rep1	E12.5_DFL_DelCBS1_RNAseq_rep2	E12.5_DFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000032841	Prr5l	1346.32744789244	1515.74120093574	1429.2908661193	1576.24522510348	1296.70814497055	1374.89722189778	1423.20168448655	0.0157294277187612	0.0883028293014773	0.178130506612182	0.85862048433712	0.999970709381425
ENSMUSG00000032842	Abcc10	335.825498238338	388.784507763954	312.458105212823	364.965740292777	383.206287618163	385.236902753969	361.746173646671	-0.130236467305891	0.130117882782574	-1.00091136222617	0.316869662882866	0.999970709381425
ENSMUSG00000032845	Alpk2	6.05090987816825	12.4411042484465	10.0205223246095	7.90947424783108	16.450774973507	3.79543746555634	9.44470385635312	0.016167516367349	0.768523406247887	0.0210371164182007	0.983216047600312	0.999970709381425
ENSMUSG00000032846	Zswim6	385.241262243379	426.107820509294	411.752371883953	420.332060027594	468.363240422199	431.731011707034	423.921294465576	-0.111253904384416	0.116768830412627	-0.952770563782102	0.340706331804506	0.999970709381425
ENSMUSG00000032849	Abcc4	141.187897157259	127.521318546577	133.910616519781	143.500461353507	133.541585079057	141.380045591974	136.840320708026	-0.0548023484912452	0.189505271575276	-0.289186406455593	0.772438733737884	0.999970709381425
ENSMUSG00000032850	Rnft2	593.997653040183	568.143760679058	661.354473424225	548.013572885439	624.161756347766	688.871899998476	614.090519395858	-0.0302433557485203	0.113821291872267	-0.265709123934914	0.79046323602778	0.999970709381425
ENSMUSG00000032852	Rspo4	37.3139442487042	11.404345561076	42.8149590233314	38.4174463466081	54.1907881480231	42.6986714875088	37.8066924692086	-0.559458954456847	0.439860742437363	-1.27190017312471	0.203408590344309	0.999970709381425
ENSMUSG00000032854	Ugt8a	11.0933347766418	8.29406949896435	25.5067840990059	6.77954935528378	23.2246234920099	13.2840311294472	14.6970653918922	0.0522275405785494	0.659665552439672	0.0791727571424548	0.936895213206482	0.999970709381425
ENSMUSG00000032855	Pkd1	2990.15796479481	3491.80325906399	3055.34835243093	2825.94215626079	3188.54726692386	3258.38306418012	3135.03034394242	0.0398065647132537	0.0776988188001858	0.512318788469903	0.608427917888234	0.999970709381425
ENSMUSG00000032860	P2ry2	23.1951545329783	11.404345561076	13.6643486244675	18.0787982807568	12.5800043915054	18.0283279613926	16.1584965586961	-0.0114144406169879	0.561513415040416	-0.0203279927268814	0.98378172543107	0.999970709381425
