gene_id	gene_short_name	E12.5_PFL_WT_RNAseq_rep1	E12.5_PFL_WT_RNAseq_rep2	E12.5_PFL_WT_RNAseq_rep3	E12.5_PFL_DelCBS1_RNAseq_rep1	E12.5_PFL_DelCBS1_RNAseq_rep2	E12.5_PFL_DelCBS1_RNAseq_rep3	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000084957	Bbip1	390.882561302819	361.43909637881	363.49004453099	356.572577932529	395.788272584963	393.873522682875	377.007679235498	-0.0386640820279509	0.122396688069484	-0.315891570579111	0.752084810284122	0.999782330420842
ENSMUSG00000084989	Crocc2	36.233495851104	24.5043455172075	41.0238108000855	34.8322826772136	32.063860057516	43.3729772001975	35.3384620172207	-0.115869571964575	0.378674991049982	-0.305986861301017	0.759614649473715	0.999782330420842
ENSMUSG00000085601	Gm4969	104.308548662269	28.8801215024231	66.7829478140927	90.7472627643196	100.199562679738	92.6071675355569	80.5876018263998	-0.514806442105971	0.336197722046579	-1.53126094660048	0.125704913354747	0.999782330420842
ENSMUSG00000085793	Lin52	176.775540364477	179.40681539384	149.784611525894	134.745935619747	155.309322153593	140.669115243884	156.115223383573	0.232373642880564	0.18303889109829	1.26953152680422	0.204251553544403	0.999782330420842
ENSMUSG00000085795	Zfp703	1238.5267672741	1339.86260667302	1261.24367157472	1376.79180476776	1140.27102329541	1167.55365652424	1254.04158835154	0.0587490693423053	0.090392015519492	0.649936490570196	0.515733246039274	0.999782330420842
ENSMUSG00000085925	Rtl1	79.0549000387723	91.891295689528	79.1854952652813	114.579877227676	58.1157463542478	82.0569838922656	84.1473830779619	-0.0285227843790075	0.273697962345217	-0.10421262962503	0.917000611555109	0.999782330420842
ENSMUSG00000086022	Rad51ap2	7.68589305932509	2.62546559112937	10.4944632279289	2.74991705346423	8.015965014379	12.894668897356	7.41106214059709	-0.175016737614457	0.863845900866335	-0.202601803676948	0.839446280110283	0.999782330420842
ENSMUSG00000086040	Wipf3	87.8387778208581	95.3919164777005	83.9557058234308	91.663901782141	59.1177419810452	96.123895416654	85.6819898836383	0.116950137698507	0.255601268428563	0.457549128834597	0.64727639849725	0.999782330420842
ENSMUSG00000086158	Ccpg1os	57.0952055835578	55.1347774137168	43.8859371349752	75.1643994613557	64.127720115032	64.4733444867801	59.9802306992363	-0.387826697870435	0.285471083737427	-1.3585498495783	0.174289276045526	0.999782330420842
ENSMUSG00000086228	Ubap1l	13.1758166731287	7.87639677338811	4.77021055814948	7.33311214257128	10.0199562679738	9.37794101625893	8.75890557191171	-0.0581654873319464	0.740979642712672	-0.0784980908773779	0.937431848797643	0.999782330420842
ENSMUSG00000086596	Susd5	301.9457987592	429.701201748174	257.591370140072	441.82000658992	303.604674919605	373.945398023325	351.434741696716	-0.176895347560101	0.179017252473319	-0.988146925037103	0.323080697108461	0.999782330420842
ENSMUSG00000086784	Isoc2a	359.041004342758	350.062078817249	368.26025508914	317.157100166208	305.6086661732	317.677751925771	336.301142752388	0.196001134100722	0.125375833559119	1.56330872175857	0.117979997844941	0.999782330420842
ENSMUSG00000086965	Rtl10	94.4266861574225	110.269554827434	103.036548056029	86.1640676752126	102.203553933332	87.9181970274274	97.3364346128095	0.157533286195142	0.225040840439124	0.70002087571192	0.483914267495084	0.999782330420842
ENSMUSG00000087006	Gm13889	20.8617097324538	27.1298111083368	10.4944632279289	21.0826974098924	18.0359212823528	17.5836394054855	19.198040361075	0.0447070104279444	0.519329065789953	0.0860860933326356	0.931397978495719	0.999782330420842
ENSMUSG00000087075	Lbhd2	38.4294652966254	28.00496630538	19.0808422325979	45.8319508910705	25.0498906699344	35.167278810971	31.9273990344299	-0.320066311931292	0.418138666198853	-0.765454950246289	0.444000682435719	0.999782330420842
ENSMUSG00000087141	Plcxd2	127.366227840244	109.39439963039	104.944632279288	132.912657584105	102.203553933332	116.052020076204	115.478915223927	-0.0436425318522488	0.213274944924692	-0.204630374503949	0.837860922115351	0.999782330420842
ENSMUSG00000087166	L1td1	129.562197285766	131.273279556469	81.0935794885411	130.16274053064	93.1855932921559	65.6455871138125	105.153829544564	0.234394205933716	0.271161317697777	0.864408714059135	0.387363407582481	0.999782330420842
ENSMUSG00000087230	Mroh3	15.3717861186502	5.25093118225874	6.67829478140927	4.58319508910705	17.0339256555554	8.20569838922656	9.52063853603453	-0.141842533250639	0.766802719954546	-0.184979173338153	0.853245370932857	0.999782330420842
ENSMUSG00000087260	Lamtor5	205.323143156256	182.03228098497	202.256927665538	183.327803564282	203.405112239867	213.348158119891	198.282237621801	-0.0246636150266031	0.162713232431618	-0.15157719294261	0.879520422922604	0.999782330420842
ENSMUSG00000087370	Tmem170b	315.121615432328	291.42668061536	309.109644168086	334.573241504815	266.530836728102	275.477017352606	298.706505966883	0.0595221976980949	0.141816314295363	0.419713331247116	0.674694885090911	0.999782330420842
ENSMUSG00000087385	Frg2f1	62.5851291973614	50.7590014285012	44.8399792466051	48.5818679445347	54.1077638470583	39.8562493191004	50.1216651638602	0.14244286551013	0.315478606602284	0.451513549664254	0.651619461640081	0.999782330420842
ENSMUSG00000087408	Cers1	96.6226556029439	112.895020418563	113.531011283958	122.829628388069	110.219518947711	97.2961380436864	108.898995447489	-0.0335775384286874	0.216084937961969	-0.155390462405099	0.876513502736758	0.999782330420842
ENSMUSG00000087598	Zfp111	449.075751609137	456.831012856511	430.272992345083	443.653284625563	414.826189494113	491.169660726561	447.638148609495	-0.0125782287982998	0.11651700249873	-0.107951874220562	0.914033867836002	0.999782330420842
ENSMUSG00000087651	1500009L16Rik	162.501738968588	189.908677758358	173.635664316641	202.577222938532	236.470967924181	184.042092444081	191.52272739173	-0.243931045061673	0.171075195137665	-1.42587033067757	0.153905774980548	0.999782330420842
ENSMUSG00000087679	Tmem250-ps	602.793612795639	676.494967314335	606.770782996614	679.229512205665	687.368999983	695.139877830193	657.966292187574	-0.126903124355755	0.0989073103521745	-1.28305100911042	0.19947420585642	0.999782330420842
ENSMUSG00000087687	Pet100	146.031968127177	169.780108226366	152.646737860783	171.411496332604	219.437042268625	215.692643373955	179.166666031585	-0.367905163430208	0.177430878516356	-2.07351260674896	0.0381245990988017	0.999782330420842
ENSMUSG00000089661	Mia	146.031968127177	202.160850516962	148.830569414264	243.825978740495	133.265418364051	191.075548206276	177.531722228204	-0.191863845564235	0.218325107247447	-0.878798815139381	0.37951036883943	0.999782330420842
ENSMUSG00000089665	Fcor	27.4496180690182	17.5031039408625	26.7131791256371	31.165726605928	32.063860057516	15.2391541514208	25.0224403250637	-0.146693126025913	0.461168527456049	-0.318090063160032	0.750416620941535	0.999782330420842
ENSMUSG00000089669	Tnfsf13	45.0173736331898	29.7552766994662	40.0697686884556	31.165726605928	32.063860057516	28.1338230487768	34.3676381222221	0.322251622654388	0.375501451428017	0.858190085361527	0.390787509827888	0.999782330420842
ENSMUSG00000089682	Bcl2l2	685.142467002693	693.998071255197	500.872108605695	695.72901452645	665.325096193457	657.628113765157	649.782478558108	-0.103447877747733	0.122217723559632	-0.846422881516523	0.397316878287326	0.999782330420842
ENSMUSG00000089704	Galnt2	3120.47258208598	3127.80467423212	3076.78581000641	3392.48100495704	2972.92102470781	3094.72053536545	3130.86427189247	-0.0211902237824608	0.0680172587170034	-0.311541867199119	0.755388719905646	0.999782330420842
ENSMUSG00000089715	Cbx6	1836.9284411787	2007.60602201693	1792.64512775257	1950.60782992396	1591.16905535423	1690.37386818067	1811.55505740118	0.107203100439451	0.0869494080614643	1.23293651825288	0.217599449497851	0.999782330420842
ENSMUSG00000089736	Tgfbr3l	139.444059790612	124.272037980124	126.887600846776	123.74626740589	132.263422737254	121.913233211366	128.08777032867	0.0452393705364177	0.195176883886185	0.23178651915971	0.816703828102565	0.999782330420842
ENSMUSG00000089762	Ier5l	384.294652966254	366.690027561069	373.984507758919	391.404860609742	431.860115149669	310.644296163577	376.479743368205	-0.0149918615010082	0.13681799498712	-0.109575217078861	0.912746266187972	0.999782330420842
ENSMUSG00000089809	Rasgef1b	277.790134858464	350.062078817249	269.99391759126	287.824651595923	382.762329436597	271.960289471509	306.7322336285	-0.0692921147220768	0.161605796814383	-0.428772457968597	0.66808882413981	0.999782330420842
ENSMUSG00000089824	Rbm12	1794.10703699103	1783.56629157389	1912.85443381794	1645.36703698943	1795.5761632209	1637.62294996422	1761.5156520929	0.112361936122489	0.0746348794888392	1.50548827695624	0.132198588569056	0.999782330420842
ENSMUSG00000089832	Shkbp1	724.66991702208	616.984413915402	705.991162606123	618.731337029452	733.460798815679	643.561202240769	673.899805271584	0.0356972158635896	0.107926095644973	0.330756112784964	0.740828713600876	0.999782330420842
ENSMUSG00000089847	Timm10b	439.193889104291	496.212996723451	391.157265768257	439.986728554277	393.784281331369	453.657896661526	435.665509690528	0.0449380997267993	0.126294862953817	0.355818904077135	0.721976190995226	0.999782330420842
ENSMUSG00000089857	Zfp882	245.948577898403	235.4167480046	252.821159581922	272.241788292959	274.546801742481	260.237863201185	256.868823120258	-0.137789757932008	0.141355449177337	-0.974774999718222	0.329671880768501	0.999782330420842
ENSMUSG00000089862	Umad1	180.069494532759	180.281970590883	171.727580093381	175.994691421711	151.301339646404	155.908269395305	169.21389094674	0.137074320629067	0.172870513946698	0.792930601637085	0.427818256939897	0.999782330420842
ENSMUSG00000089872	Rps6kc1	601.695628072878	651.115466600084	604.862698773354	641.647312474987	646.287179284307	618.944107073089	627.425398713117	-0.0373689878455708	0.0987675736550631	-0.378352798015254	0.70516852816787	0.999782330420842
ENSMUSG00000089876	Tmem102	14.2738013958894	11.3770175615606	13.3565895628185	9.1663901782141	15.0299344019606	14.0669115243884	12.8784407708053	0.030403924067431	0.59974907989341	0.0506944071891439	0.959569033337288	0.999782330420842
ENSMUSG00000089901	Gm8113	51.6052819697541	0	33.3914739070463	34.8322826772136	24.047895043137	80.8847412652332	37.4602791437307	-0.718527090371419	1.57793139711756	-0.455360158042338	0.648850153592525	0.999782330420842
ENSMUSG00000089911	Mfsd14a	934.384999069378	1023.93158054045	947.363816848486	905.639349607554	920.833981026788	840.497963582206	928.775281779145	0.123516503104757	0.0888350776231997	1.39040237718551	0.164406725021676	0.999782330420842
ENSMUSG00000089917	Uckl1	232.772761225274	233.666437610514	289.074759823858	319.907017219672	282.56276675686	289.543928876994	274.587945252195	-0.24018274790437	0.148002420729219	-1.62282986130208	0.104625780393795	0.999782330420842
ENSMUSG00000090000	Ier3ip1	645.615016983307	767.511107806819	623.943541005952	626.064449172023	670.335074327444	543.920578943018	646.231628039761	0.146172722292525	0.115567481567232	1.26482571316992	0.205933811759703	0.999782330420842
